source,target,value
韩国,上海,41
韩国,青岛,38
韩国,北京,37
韩国,烟台,7
韩国,延吉,9
韩国,大连,11
韩国,哈尔滨,6
韩国,沈阳,14
韩国,长春,9
韩国,广州,9
韩国,厦门,1
韩国,济南,3
韩国,牡丹江,3
韩国,延吉,4
韩国,威海,7
韩国,成都,2
韩国,南京,2
韩国,西安,2
韩国,南京,2
伊朗,北京,1
伊朗,广州,1
伊朗,上海,2
伊朗,深圳,1
德国,上海,7
德国,北京,9
法国,上海,7
法国,北京,5
法国,广州,4
日本,上海,109
日本,北京,28
日本,南京,7
日本,长沙,3
日本,大连,13
日本,广州,14
日本,哈尔滨,4
日本,沈阳,3
日本,长春,1
日本,福州,3
日本,厦门,5
日本,青岛,3
日本,无锡,1
日本,成都,8
日本,上海,4
上海,兰州,4
日本,大连,2
大连,北京,2
西班牙,北京,1
美国,福州,3
美国,上海,3
美国,北京,10
美国,沈阳,3
美国,青岛,2
青岛,厦门 ,2
美国,上海,3
上海,福州,3
英国,上海,4
英国,北京,7
瑞典,北京,1
新加坡,成都,7
新加坡,福州,5
新加坡,厦门,5
新加坡,北京,7
新加坡,广州,3
新加坡,上海,7
新加坡,重庆,1
荷兰,上海,1
荷兰,北京,4
荷兰,广州,3
荷兰,厦门,2
比利时,北京,2
马来西亚,广州,21
马来西亚,上海,19
马来西亚,北京,5
马来西亚,海口,2
马来西亚,重庆,3
马来西亚,郑州,4
马来西亚,深圳,3
马来西亚,厦门,7
厦门,青岛,7
澳大利亚,上海,14
澳大利亚,北京,4
澳大利亚,广州,14
澳大利亚,厦门,2
加拿大,上海,10
加拿大,北京,2
加拿大,广州,2
加拿大,厦门,2
加拿大,青岛,3
青岛,杭州,3
加拿大,成都,3
加拿大,古巴,1
古巴,北京,1
泰国,南宁,14
泰国,成都,25
泰国,广州,60
泰国,揭阳潮汕,4
泰国,宁波,4
泰国,上海,88
泰国,西安,3
泰国,昆明,18
泰国,西双版纳,7
西双版纳,昆明,7
泰国,福州,4
福州,大连,4
泰国,福州,3
泰国,厦门,7
泰国,深圳,16
泰国,常州,3
泰国,杭州,3
泰国,济南,3
泰国,南京,3
泰国,长沙,3
泰国,郑州,3
泰国,重庆,3
希腊,北京,1
阿拉伯联合酋长国,北京,19
印度,上海,2
上海,北京,2
印度,北京,1
印度,昆明,2
芬兰,上海,1
埃及,成都,1
成都,北京,1
巴西,西班牙,2
西班牙,北京,2
葡萄牙,西安,1
西安,北京 ,1
俄罗斯,北京,8
俄罗斯,广州,4
俄罗斯,上海,7
阿塞拜疆,北京,2
白俄罗斯,匈牙利,1
匈牙利,北京,1
巴基斯坦,北京,1
巴基斯坦,乌鲁木齐,2
菲律宾,广州,9
菲律宾,泉州,7
菲律宾,厦门,4
新西兰,上海,1
新西兰,北京,2
新西兰,广州,3
新西兰,成都,1
柬埔寨,成都,12
柬埔寨,广州,28
柬埔寨,揭阳潮汕,10
柬埔寨,上海,7
柬埔寨,深圳,24
柬埔寨,北京,6
柬埔寨,厦门,10
柬埔寨,福州,5
柬埔寨,温州,2
柬埔寨,郑州,4
柬埔寨,昆明,8
柬埔寨,杭州,2
柬埔寨,南昌,7
柬埔寨,南宁,3
柬埔寨,无锡,2
柬埔寨,长沙,4
柬埔寨,广州,7
广州,北京,7
南非,深圳,2
深圳,北京,2
尼泊尔,昆明,7
尼泊尔,成都,1
尼泊尔,广州,2
斯里兰卡,上海,3
斯里兰卡,北京,2
斯里兰卡,广州,3
蒙古,天津,1
孟加拉,昆明,3
昆明,北京,3
孟加拉,广州,4
缅甸,昆明,3
昆明,呼和浩特,3
缅甸,昆明,11
缅甸,上海,7
缅甸,北京,1
缅甸,广州,4
缅甸,深圳,2
缅甸,德宏,3
老挝,昆明,14
老挝,重庆,2
老挝,广州,3
老挝,成都,1
老挝,长沙,2
埃塞俄比亚,北京,5
埃塞俄比亚,成都,2
埃塞俄比亚,广州,5
埃塞俄比亚,上海,5
乌兹别克斯坦,成都,3
乌兹别克斯坦,西安,3